City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
150,sitka,0,US,1552954534,44,37.17,-99.65,57.99,5.01
151,aracuai,92,BR,1552955447,80,-16.85,-42.07,76.73,1.3
152,praia,0,BR,1552950000,88,-20.25,-43.81,73.4,0.96
153,cayenne,90,GF,1552953600,78,4.94,-52.33,78.8,2.24
154,karratha,0,AU,1552955448,66,-20.74,116.85,79.52,4.65
155,cermik,0,TR,1552953000,75,38.14,39.45,41.0,4.7
156,bambanglipuro,64,ID,1552955449,94,-7.95,110.28,75.65,4.09
157,atagay,88,RU,1552955449,78,55.1,99.39,21.74,4.21
158,kiunga,48,PG,1552955449,83,-6.12,141.3,80.06,0.51
159,chuncheng,100,CN,1552955450,98,22.17,111.79,67.46,3.42
160,pisco,75,PE,1552950000,30,-13.71,-76.2,71.6,20.8
161,egvekinot,8,RU,1552955406,66,66.32,-179.17,-10.58,2.98
162,portland,1,US,1552955248,25,45.52,-122.67,69.01,24.16
163,eureka,1,US,1552955105,81,40.8,-124.16,66.0,4.7
164,mountain home,1,US,1552955159,21,43.13,-115.69,62.6,9.17
165,malabo,20,CD,1552955450,76,1.56,30.43,61.88,1.97
166,victoria,75,BN,1552953600,88,5.28,115.24,82.4,7.45
167,longyearbyen,75,NO,1552953000,85,78.22,15.63,14.0,20.8
168,berasia,0,IN,1552955453,55,23.63,77.43,56.03,4.32
169,tura,0,IN,1552955453,90,25.52,90.21,56.39,2.19
170,clyde river,90,CA,1552953960,75,70.47,-68.59,-14.81,25.28
171,severo-kurilsk,64,RU,1552955453,94,50.68,156.12,31.28,10.69
172,los llanos de aridane,40,ES,1552955101,59,28.66,-17.92,64.4,11.41
173,khandyga,0,RU,1552955454,64,62.65,135.58,-4.19,2.42
174,nikolskoye,75,RU,1552955435,93,59.7,30.79,37.0,11.18
175,wattegama,56,LK,1552955454,95,7.35,80.68,68.18,2.98
176,savannah bight,0,HN,1552955454,94,16.45,-85.85,80.87,7.11
177,inongo,48,CD,1552955454,97,-1.93,18.29,74.39,2.19
178,rehau,40,DE,1552955426,92,50.25,12.03,34.0,4.7
179,launceston,75,AU,1552955409,59,-41.43,147.14,69.01,13.87
180,helong,20,CN,1552955455,97,25.94,116.13,59.99,3.42
181,san-pedro,0,CI,1552955236,85,4.75,-6.64,80.96,8.57
182,port macquarie,0,AU,1552955105,73,-31.43,152.91,82.0,4.7
183,dikson,80,RU,1552955455,94,73.51,80.55,24.26,21.21
184,buriti bravo,64,BR,1552955455,93,-5.84,-43.84,73.67,0.63
185,namibe,0,AO,1552955456,100,-15.19,12.15,76.82,9.01
186,orapa,68,BW,1552955456,30,-21.28,25.37,82.13,10.13
187,gobabis,32,NA,1552955456,63,-22.45,18.97,68.9,3.98
188,karaton,40,ID,1552955416,78,-6.34,106.1,78.8,11.41
189,bathsheba,40,BB,1552950000,65,13.22,-59.52,78.8,16.11
190,iquique,0,CL,1552953600,68,-20.22,-70.14,69.8,12.75
191,ulladulla,75,AU,1552955366,100,-35.36,150.48,72.0,16.11
192,westport,88,IE,1552955406,92,53.8,-9.52,46.0,15.01
193,vilyuysk,12,RU,1552955457,58,63.75,121.63,-6.71,2.98
194,olinda,75,EC,1552955418,88,-2.03,-79.75,80.6,9.17
195,cabedelo,0,BR,1552953600,88,-6.97,-34.84,78.8,2.24
196,aguadilla,90,PR,1552955245,78,18.43,-67.15,78.01,9.17
197,adrar,0,DZ,1552953600,15,27.87,-0.29,64.4,6.93
198,lorengau,68,PG,1552955458,97,-2.02,147.27,83.12,9.8
199,roma,40,IT,1552955224,76,41.89,12.48,51.01,5.82
200,petropavlovsk-kamchatskiy,20,RU,1552953600,58,53.05,158.65,28.4,3.31
201,riyadh,0,SA,1552953600,40,24.63,46.72,53.6,2.64
202,quatre cocos,40,MU,1552955343,88,-20.21,57.76,80.6,4.7
203,dwarka,20,IN,1552953600,82,28.58,77.04,60.8,5.99
204,kununurra,12,AU,1552953600,58,-15.77,128.74,87.8,6.93
205,vila,0,IT,1552955450,80,45.18,8.4,46.99,9.17
206,merrill,1,US,1552955405,15,42.03,-121.6,64.4,14.99
207,wonosobo,20,ID,1552951800,88,-7.36,109.9,77.0,2.24
208,arcos de la frontera,12,ES,1552955417,93,36.75,-5.81,57.2,5.82
209,ketchikan,1,US,1552953360,55,55.34,-131.65,62.6,4.7
210,saint anthony,1,US,1552955137,36,43.97,-111.68,50.0,4.7
211,mtambile,92,TZ,1552955460,100,-5.38,39.7,81.32,9.24
212,sao filipe,12,CV,1552955460,92,14.9,-24.5,72.23,10.92
213,faya,0,SA,1552953600,87,18.39,42.45,62.6,10.29
214,brae,20,GB,1552953000,80,60.4,-1.35,42.8,14.99
215,marovoay,20,MG,1552953600,88,-16.11,46.64,80.6,2.24
216,goundam,0,ML,1552955461,29,16.42,-3.66,75.11,10.25
217,nadadores,36,MX,1552955403,54,27.03,-101.59,59.0,4.0
218,trelew,20,AR,1552955461,33,-43.25,-65.31,55.76,9.8
219,yurimaguas,40,PE,1552950000,94,-5.9,-76.1,78.8,4.7
220,keningau,75,MY,1552953600,74,5.33,116.16,82.4,4.7
221,talcahuano,0,CL,1552953600,50,-36.72,-73.12,57.2,20.8
222,hualmay,24,PE,1552955462,82,-11.1,-77.61,72.41,5.1
223,cururupu,36,BR,1552955462,91,-1.82,-44.87,78.08,4.65
224,tilichiki,20,RU,1552955462,83,60.47,166.1,0.14,3.98
225,khatanga,88,RU,1552955462,85,71.98,102.47,2.66,8.79
226,saint george,20,GR,1552955009,100,39.45,22.34,54.0,3.2
227,portobelo,40,PA,1552955056,58,9.55,-79.65,84.2,10.29
228,santa marta,40,CO,1552955149,62,11.24,-74.21,84.2,16.11
229,narsaq,80,GL,1552953000,74,60.91,-46.05,28.4,9.17
230,xiaoweizhai,88,CN,1552955464,94,26.23,107.51,58.01,9.46
231,saskylakh,44,RU,1552955464,37,71.97,114.09,-24.89,3.2
232,beipiao,0,CN,1552955464,29,41.8,120.76,56.48,10.69
233,tiksi,12,RU,1552955464,62,71.64,128.87,-21.56,3.42
234,tosagua,40,EC,1552953600,83,-0.79,-80.23,80.6,6.93
235,hay river,75,CA,1552953600,40,60.82,-115.79,53.6,10.29
236,soledade,0,BR,1552953600,83,-7.06,-36.37,75.2,5.82
237,shellbrook,20,CA,1552953600,52,53.22,-106.39,42.8,10.29
238,kangasala,90,FI,1552955408,100,61.46,24.07,35.01,2.24
239,bonfim,0,BR,1552950000,88,-20.33,-44.24,73.4,1.74
240,kirakira,12,SB,1552955466,100,-10.46,161.92,82.58,9.35
241,lima,0,PE,1552955107,78,-12.06,-77.04,73.4,14.99
242,nantucket,1,US,1552955230,55,41.28,-70.1,37.99,13.87
243,nemuro,0,JP,1552953600,69,43.32,145.57,39.2,13.87
244,hermosillo,5,MX,1552955375,18,29.09,-110.96,87.8,6.93
245,kruisfontein,68,ZA,1552955467,95,-34.0,24.73,68.36,5.55
